City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hilo,19.7297,-155.09,22.93,90,100,0.89,US,1675430436
84,nouakchott,18.0858,-15.9785,26.96,24,100,3.87,MR,1675430437
85,sao filipe,14.8961,-24.4956,22.1,69,39,5.26,CV,1675430437
86,clyde river,70.4692,-68.5914,-29.87,63,75,5.14,CA,1675430438
87,leninskoye,41.7589,69.3864,3.46,96,100,1.54,KZ,1675430438
88,grindavik,63.8424,-22.4338,4.26,93,100,19.03,IS,1675430439
89,yellowknife,62.456,-114.3525,-24.71,77,75,3.09,CA,1675430439
90,snasa,64.2457,12.3778,-4.33,91,6,2.74,NO,1675430439
91,nyurba,63.2842,118.3319,-26.62,100,100,0.77,RU,1675430440
92,camopi,3.1655,-52.3158,24.73,89,94,1.63,GF,1675430293
93,norman wells,65.282,-126.8329,-34.98,68,75,0.0,CA,1675430440
94,rio grande,-32.035,-52.0986,27.06,73,65,2.04,BR,1675430441
95,baruun-urt,46.6806,113.2792,-18.33,87,13,2.77,MN,1675430441
96,guerrero negro,27.9769,-114.0611,12.99,57,27,2.09,MX,1675430442
97,nushki,29.5542,66.0215,18.11,43,5,1.11,PK,1675430442
98,bluff,-46.6,168.3333,16.74,96,100,2.53,NZ,1675430442
99,matagalpa,12.9256,-85.9175,20.45,94,75,8.23,NI,1675430443
100,kruisfontein,-34.0033,24.7314,26.05,52,22,6.05,ZA,1675430443
101,selma,36.5708,-119.6121,9.43,93,0,0.0,US,1675430444
102,severo-kurilsk,50.6789,156.125,-2.97,77,100,6.57,RU,1675430444
103,linares,-35.85,-71.6,23.3,36,0,1.62,CL,1675430444
104,longyearbyen,78.2186,15.6401,-13.09,61,75,5.14,SJ,1675430445
105,coihaique,-45.5752,-72.0662,18.97,63,0,3.6,CL,1675430445
106,kapaa,22.0752,-159.319,22.18,93,75,2.06,US,1675430446
107,dogondoutchi,13.6393,4.0287,36.33,9,58,4.8,NE,1675430446
108,faya,18.3851,42.4509,19.06,45,14,4.61,SA,1675430447
109,chokurdakh,70.6333,147.9167,-36.98,100,86,1.46,RU,1675430447
110,pyay,18.8167,95.2167,28.78,32,9,2.63,MM,1675430447
111,avarua,-21.2078,-159.775,26.03,89,20,8.23,CK,1675430448
112,zheleznodorozhnyy,55.7503,38.0042,1.31,96,100,3.76,RU,1675430448
113,marawi,7.9986,124.2928,20.0,96,58,0.76,PH,1675430449
114,cabo san lucas,22.8909,-109.9124,16.95,60,0,5.14,MX,1675430449
115,hithadhoo,-0.6,73.0833,27.39,71,5,7.96,MV,1675430450
116,krasnyy chikoy,50.3643,108.7512,-18.56,99,100,1.14,RU,1675430450
117,okhotsk,59.3833,143.3,-24.54,88,25,4.48,RU,1675430451
118,ancud,-41.8697,-73.8203,17.16,70,0,1.82,CL,1675430298
119,kiama,-34.6833,150.8667,21.11,48,0,5.36,AU,1675430451
120,jalu,29.0331,21.5482,16.58,34,90,1.8,LY,1675430452
121,mahebourg,-20.4081,57.7,28.16,78,75,5.14,MU,1675430452
122,vagur,61.4732,-6.8119,3.86,96,100,8.97,FO,1675430452
123,port macquarie,-31.4333,152.9167,23.27,82,3,5.37,AU,1675430453
124,padilla,3.2204,-76.3139,20.76,74,99,0.3,CO,1675430453
125,nenjiang,49.1833,125.2167,-28.11,98,71,1.0,CN,1675430454
126,eldama ravine,0.0516,35.7308,26.49,11,43,5.03,KE,1675430454
127,dombas,62.0696,9.1235,-10.25,95,57,1.24,NO,1675430455
128,grand gaube,-20.0064,57.6608,28.22,76,13,2.24,MU,1675430455
129,nikolskoye,59.7035,30.7861,-2.9,94,100,2.58,RU,1675430456
130,bongor,10.2806,15.3722,37.51,9,50,3.57,TD,1675430456
131,ilulissat,69.2167,-51.1,-11.99,67,75,4.12,GL,1675430456
132,wattegama,6.7989,81.4808,23.34,95,35,2.19,LK,1675430457
133,vardo,70.3705,31.1107,-2.01,59,20,8.75,NO,1675430457
134,colares,38.7992,-9.4469,18.65,46,0,4.02,PT,1675430458
135,iaciara,-14.0958,-46.6317,28.42,57,15,1.37,BR,1675430458
136,nome,64.5011,-165.4064,-25.96,84,0,0.0,US,1675430458
137,bengkulu,-3.8004,102.2655,26.11,84,77,3.19,ID,1675430459
138,riyadh,24.6877,46.7219,17.08,33,0,4.33,SA,1675430056
139,guane,22.2025,-84.0875,21.15,82,0,1.35,CU,1675430459
140,antofagasta,-23.65,-70.4,21.6,74,8,1.26,CL,1675430460
141,canyon,34.9803,-101.9188,1.49,67,0,3.75,US,1675430460
142,pevek,69.7008,170.3133,-29.7,100,29,1.05,RU,1675430461
143,shevchenkove,49.6959,37.1735,1.69,85,96,4.16,UA,1675430461
144,san carlos de bariloche,-41.1456,-71.3082,20.86,35,0,1.54,AR,1675430461
145,maksi,23.2667,76.15,20.49,23,5,2.49,IN,1675430465
146,cabedelo,-6.9811,-34.8339,31.37,59,63,5.69,BR,1675430466
147,qaqortoq,60.7167,-46.0333,-15.14,84,100,0.69,GL,1675430468
148,kahului,20.8947,-156.47,22.69,94,0,2.57,US,1675430470
149,cap malheureux,-19.9842,57.6142,27.48,76,17,2.24,MU,1675430471
150,pindi bhattian,31.8978,73.273,20.31,27,100,1.65,PK,1675430473
151,port-gentil,-0.7193,8.7815,30.98,70,40,4.12,GA,1675430474
152,saint-joseph,-21.3667,55.6167,27.21,85,73,6.76,RE,1675430475
153,coquimbo,-29.9533,-71.3436,17.85,82,75,2.06,CL,1675430272
154,gunjur,13.2019,-16.7339,32.04,18,0,3.6,GM,1675430478
155,muisne,0.6,-80.0333,24.36,90,100,3.27,EC,1675430190
156,lompoc,34.6391,-120.4579,13.29,65,20,4.12,US,1675430449
157,cape town,-33.9258,18.4232,25.61,53,0,10.29,ZA,1675430238
158,mago,53.2514,140.1822,-32.35,100,71,0.76,RU,1675430485
159,novoagansk,61.9449,76.6625,-9.19,97,99,2.65,RU,1675430487
160,moose factory,51.2585,-80.6094,-36.0,68,75,4.12,CA,1675430488
161,samarai,-10.6167,150.6667,27.89,80,100,2.63,PG,1675430490
162,vila velha,-20.3297,-40.2925,30.97,68,40,5.66,BR,1675430491
163,muscatine,41.4667,-91.1335,-17.73,65,20,5.66,US,1675430492
164,namibe,-15.1961,12.1522,25.52,67,35,5.17,AO,1675430492
165,zyryanka,65.75,150.85,-33.24,99,99,2.19,RU,1675430492
166,kilindoni,-7.9139,39.6668,28.69,71,41,2.81,TZ,1675430493
167,jerome,42.7241,-114.5186,-5.54,68,0,10.8,US,1675430493
168,zverinogolovskoye,54.4586,64.8542,-16.79,90,100,0.91,RU,1675430494
169,menongue,-14.6585,17.691,23.52,70,96,2.48,AO,1675430494
